index,sender_name,dateTime,timeElapsed,answerTime_s,answerTime_m
1031,Klara,2020-10-08T14:20:26Z,50369510.51099992,NA,NA
1032,Klara,2020-10-08T14:19:16Z,50369439.88899994,401.3489999771118,6.689149999618531
1033,Jonathan,2020-10-08T14:12:34Z,50369038.53999996,48.312999963760376,0.805216666062673
1034,Klara,2020-10-08T14:11:46Z,50368990.227,195.92199993133545,3.2653666655222575
1035,Jonathan,2020-10-08T14:08:30Z,50368794.30500007,39.807000160217285,0.6634500026702881
1036,Klara,2020-10-08T14:07:50Z,50368754.49799991,NA,NA
1037,Klara,2020-10-08T14:04:37Z,50368561.01399994,1342.718999862671,22.378649997711182
1038,Jonathan,2020-10-08T13:42:14Z,50367218.29500008,370.5150001049042,6.175250001748403
1039,Klara,2020-10-08T13:36:04Z,50366847.77999997,4103.385999917984,68.38976666529973
1040,Jonathan,2020-10-08T12:27:40Z,50362744.39400005,NA,NA
1041,Jonathan,2020-10-08T12:00:38Z,50361121.78799987,2414.263000011444,40.2377166668574
1042,Klara,2020-10-08T11:20:23Z,50358707.52499986,NA,NA
1043,Klara,2020-10-08T11:05:35Z,50357819.53299999,2398.433000087738,39.97388333479564
1044,Jonathan,2020-10-08T10:25:37Z,50355421.099999905,4079.7249999046326,67.99541666507722
1045,Klara,2020-10-08T09:17:37Z,50351341.375,NA,NA
1046,Klara,2020-10-08T09:16:03Z,50351246.87100005,4884.0940001010895,81.40156666835149
1047,Jonathan,2020-10-08T07:54:39Z,50346362.77699995,NA,NA
1048,Jonathan,2020-10-08T07:54:39Z,50346362.7579999,6380.566999912262,106.34278333187103
1049,Klara,2020-10-08T06:08:18Z,50339982.190999985,NA,NA
1050,Klara,2020-10-08T05:56:50Z,50339294.51499987,NA,NA
1051,Klara,2020-10-08T05:42:52Z,50338455.815999985,NA,NA
1052,Klara,2020-10-07T15:04:54Z,50285778.35100007,NA,NA
1053,Klara,2020-10-07T14:49:20Z,50284843.78299999,NA,NA
1054,Klara,2020-10-07T14:48:47Z,50284811.585999966,5525.319000005722,92.08865000009537
1055,Jonathan,2020-10-07T13:16:42Z,50279286.26699996,509.35400009155273,8.489233334859213
1056,Klara,2020-10-07T13:08:13Z,50278776.91299987,NA,NA
1057,Klara,2020-10-07T13:08:10Z,50278773.727,56453.77900004387,940.8963166673979
1058,Jonathan,2020-10-06T21:27:16Z,50222319.947999954,905.7070000171661,15.09511666695277
1059,Klara,2020-10-06T21:12:10Z,50221414.24099994,NA,NA
1060,Klara,2020-10-06T21:11:19Z,50221363.20899987,8929.12399983406,148.81873333056768
1061,Jonathan,2020-10-06T18:42:30Z,50212434.08500004,820.194000005722,13.669900000095367
1062,Klara,2020-10-06T18:28:50Z,50211613.89100003,3218.1080000400543,53.635133334000905
1063,Jonathan,2020-10-06T17:35:12Z,50208395.78299999,NA,NA
1064,Jonathan,2020-10-06T17:34:51Z,50208374.845999956,NA,NA
1065,Jonathan,2020-10-06T17:34:05Z,50208329.004999876,3570.0329999923706,59.500549999872845
1066,Klara,2020-10-06T16:34:35Z,50204758.97199988,2197.09099984169,36.61818333069483
1067,Jonathan,2020-10-06T15:57:58Z,50202561.88100004,441.21200013160706,7.353533335526785
1068,Klara,2020-10-06T15:50:37Z,50202120.66899991,1069.9919998645782,17.83319999774297
1069,Jonathan,2020-10-06T15:32:47Z,50201050.677000046,5260.228000164032,87.67046666940054
1070,Klara,2020-10-06T14:05:06Z,50195790.44899988,1306.9739999771118,21.78289999961853
1071,Jonathan,2020-10-06T13:43:19Z,50194483.474999905,27030.96499991417,450.51608333190285
1072,Klara,2020-10-06T06:12:48Z,50167452.50999999,33362.3069999218,556.0384499986966
1073,Jonathan,2020-10-05T20:56:46Z,50134090.20300007,22059.47500014305,367.65791666905085
1074,Klara,2020-10-05T14:49:07Z,50112030.727999926,3750.434000015259,62.50723333358765
1075,Jonathan,2020-10-05T13:46:36Z,50108280.29399991,NA,NA
1076,Jonathan,2020-10-04T21:38:00Z,50050164.065999985,202.9079999923706,3.3817999998728436
1077,Klara,2020-10-04T21:34:37Z,50049961.15799999,NA,NA
1078,Klara,2020-10-04T21:34:11Z,50049934.67000008,1139.75200009346,18.995866668224334
1079,Jonathan,2020-10-04T21:15:11Z,50048794.91799998,NA,NA
1080,Jonathan,2020-10-04T21:14:47Z,50048770.927000046,326.45700001716614,5.440950000286103
1081,Klara,2020-10-04T21:09:20Z,50048444.47000003,NA,NA
1082,Klara,2020-10-04T21:03:52Z,50048115.92299986,862.077999830246,14.367966663837432
1083,Jonathan,2020-10-04T20:49:30Z,50047253.84500003,1177.9830000400543,19.633050000667573
1084,Klara,2020-10-04T20:29:52Z,50046075.86199999,NA,NA
1085,Klara,2020-10-04T20:28:24Z,50045987.81399989,NA,NA
1086,Klara,2020-10-04T17:03:21Z,50033685.51699996,985.4059998989105,16.423433331648507
1087,Jonathan,2020-10-04T16:46:56Z,50032700.11100006,177419.96800017357,2956.9994666695593
1088,Klara,2020-10-02T15:29:56Z,49855280.14299989,193.8550000190735,3.230916666984558
